                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1081,                   3.84,                 1.6605,                0.00167,                    0.5,                0.01692,                0.00522,                      0,                    inf,                      0,                    0.1,                      0,                      0
                      1,                 1.7087,                  3.938,                 1.7006,                0.00167,                    0.5,                 0.0181,                0.00557,                      0,                    inf,                      0,                 0.0991,             9.9505e-05,             9.9505e-05
                      2,                 1.9787,                 4.2946,                  1.803,                0.00167,                    0.5,                0.01946,                0.00598,                      0,                    inf,                      0,               0.098198,             0.00019802,             0.00019802
                      3,                 1.7764,                 4.2395,                 1.8455,                0.00167,                    0.5,                0.02105,                0.00645,                      0,                    inf,                      0,               0.097296,             0.00029554,             0.00029554
                      4,                 1.8074,                  4.324,                 1.7346,                0.00167,                    0.5,                0.12418,                0.01325,                      0,                    inf,                      0,               0.096392,             0.00039208,             0.00039208
                      5,                 2.1715,                  3.982,                 1.7931,                0.00167,                    0.5,                0.12418,                0.02526,                      0,                    inf,                      0,               0.095488,             0.00048762,             0.00048762
                      6,                 2.3849,                 3.9256,                 1.8415,                0.00167,                    0.5,                0.12418,                0.03754,                      0,                    inf,                      0,               0.094582,             0.00058218,             0.00058218
                      7,                 1.7589,                 4.1203,                 1.7816,                0.00167,                    0.5,                0.08292,                0.02517,                      0,                    inf,                      0,               0.093676,             0.00067574,             0.00067574
                      8,                 1.3438,                  4.017,                 1.0711,                0.00167,                    0.5,                 0.0623,                0.01898,                      0,                    inf,                      0,               0.092768,             0.00076832,             0.00076832
                      9,                 1.0071,                 3.3149,                 1.0964,                0.00333,                      1,                0.16942,                0.05048,                      0,                    inf,                      0,                0.09186,             0.00085991,             0.00085991
                     10,                 1.3014,                 3.5464,                 1.2559,                0.00333,                      1,                0.49961,                0.15021,                      0,                    inf,                      0,               0.090951,              0.0009505,              0.0009505
                     11,                 1.3642,                 3.3589,                 1.1735,                0.00333,                      1,                0.49988,                0.15076,                      0,                    inf,                      0,                0.09004,              0.0010401,              0.0010401
                     12,                  1.036,                 3.5075,                 1.1334,                0.00333,                      1,                  0.995,                0.25086,                      0,                    inf,                      0,               0.089129,              0.0011287,              0.0011287
                     13,                0.89799,                 3.5777,                 1.0041,                0.00333,                      1,                  0.745,                0.27462,                      0,                    inf,                      0,               0.088216,              0.0012163,              0.0012163
                     14,                0.95518,                 3.1271,                 1.0802,                0.00333,                      1,                  0.745,                 0.2503,                      0,                    inf,                      0,               0.087303,               0.001303,               0.001303
                     15,                 1.1154,                 3.3946,                 1.1652,                0.00333,                      1,                  0.745,                0.25026,                      0,                    inf,                      0,               0.086389,              0.0013886,              0.0013886
                     16,                0.97207,                 3.2127,                 1.0401,                0.00333,                      1,                0.63786,                0.26303,                      0,                    inf,                      0,               0.085473,              0.0014733,              0.0014733
                     17,                0.86292,                 3.0566,                0.91428,                0.00333,                      1,                0.63786,                0.26303,                      0,                    inf,                      0,               0.084557,              0.0015569,              0.0015569
                     18,                 0.8715,                 2.8967,                0.92118,                0.00333,                      1,                 0.4975,                0.12875,                      0,                    inf,                      0,                0.08364,              0.0016396,              0.0016396
                     19,                0.81903,                 2.9651,                 0.9894,                0.00333,                      1,                 0.4975,                0.12875,                      0,                    inf,                      0,               0.082721,              0.0017213,              0.0017213
                     20,                0.85654,                 2.8483,                 0.9138,                0.00333,                      1,                 0.4975,                0.15107,                      0,                    inf,                      0,               0.081802,               0.001802,               0.001802
                     21,                0.71707,                 2.5986,                0.74272,                0.00333,                      1,                 0.4975,                0.15107,                      0,                    inf,                      0,               0.080882,              0.0018817,              0.0018817
                     22,                0.56947,                 2.6708,                 0.8963,                0.00333,                      1,                0.66333,                0.20037,                      0,                    inf,                      0,                0.07996,              0.0019604,              0.0019604
                     23,                0.51862,                 2.6042,                0.93725,                0.00333,                      1,                0.66333,                0.20037,                      0,                    inf,                      0,               0.079038,              0.0020381,              0.0020381
                     24,                0.69484,                 2.8618,                0.94732,                0.00333,                      1,                 0.4975,                0.13478,                      0,                    inf,                      0,               0.078115,              0.0021149,              0.0021149
                     25,                0.67755,                 2.4671,                0.78316,                0.00333,                      1,                 0.4975,                0.13478,                      0,                    inf,                      0,               0.077191,              0.0021906,              0.0021906
                     26,                0.73265,                  2.382,                0.90287,                0.00333,                      1,                  0.745,                0.21531,                      0,                    inf,                      0,               0.076265,              0.0022654,              0.0022654
                     27,                 1.1283,                 2.4991,                 1.0133,                0.00333,                      1,                  0.745,                0.21531,                      0,                    inf,                      0,               0.075339,              0.0023391,              0.0023391
                     28,                0.93917,                 2.4941,                 1.0158,                0.00333,                      1,                  0.695,                0.15095,                      0,                    inf,                      0,               0.074412,              0.0024119,              0.0024119
                     29,                0.82559,                 1.8052,                0.92951,                0.00333,                      1,                  0.695,                0.15095,                      0,                    inf,                      0,               0.073484,              0.0024837,              0.0024837
                     30,                0.96383,                 2.2638,                0.98128,                0.00333,                      1,                  0.745,                 0.2235,                      0,                    inf,                      0,               0.072554,              0.0025545,              0.0025545
                     31,                0.79754,                 2.2326,                0.92815,                0.00333,                      1,                  0.745,                 0.2235,                      0,                    inf,                      0,               0.071624,              0.0026243,              0.0026243
                     32,                0.78033,                   1.75,                0.87159,                0.00333,                      1,                0.66167,                 0.2483,                      0,                    inf,                      0,               0.070693,              0.0026931,              0.0026931
                     33,                0.88032,                 1.8946,                 1.0424,                0.00333,                      1,                0.66167,                 0.2483,                      0,                    inf,                      0,               0.069761,              0.0027609,              0.0027609
                     34,                 0.7361,                 1.3156,                0.86255,                0.00333,                      1,                0.63786,                0.29044,                      0,                    inf,                      0,               0.068828,              0.0028278,              0.0028278
